"txn_id","account_id","txn_reference_no","txn_date","txn_type","dr_cr_flag","amount","balance_after_txn","channel_code","narration","counterparty_reference"
"TXN00000064","ACC00000010","000064","2026-05-28 06:21:59","CHEQUE","DR","14695.53","77142.74","NETBANKING","TXN","S000064"
"TXN00000065","ACC00000010","000065","2026-04-06 06:21:59","CHEQUE","DR","45203.22","426725.01","IVR","TXN","S000065"
"TXN00000066","ACC00000011","000066","2026-05-18 06:21:59","CHEQUE","DR","25082.48","258378.15","MOBILE","TXN","S000066"
"TXN00000067","ACC00000011","000067","2026-06-05 06:21:59","RTGS","DR","46121.28","133463.3","NETBANKING","TXN","S000067"
"TXN00000068","ACC00000011","000068","2026-05-21 06:21:59","RTGS","DR","17404.32","145457.97","ATM","TXN","S000068"
"TXN00000069","ACC00000011","000069","2026-05-11 06:21:59","RTGS","CR","40613.45","433272.5","MOBILE","TXN","S000069"
"TXN00000070","ACC00000012","000070","2026-05-13 06:21:59","CHEQUE","DR","17155.13","311312.47","MOBILE","TXN","S000070"
"TXN00000071","ACC00000012","000071","2026-04-23 06:21:59","TRANSFER","DR","20924.93","34012.03","ATM","TXN","S000071"
"TXN00000072","ACC00000012","000072","2026-03-25 06:21:59","NEFT","CR","22513.54","63716.5","BRANCH","TXN","S000072"
"TXN00000073","ACC00000012","000073","2026-03-28 06:21:59","RTGS","DR","43143.12","328692.65","IVR","TXN","S000073"
"TXN00000074","ACC00000012","000074","2026-05-24 06:21:59","NEFT","CR","49784.72","310927.46","IVR","TXN","S000074"
"TXN00000075","ACC00000012","000075","2026-05-21 06:21:59","TRANSFER","CR","3483.92","471730.86","MOBILE","TXN","S000075"
"TXN00000076","ACC00000012","000076","2026-05-18 06:21:59","NEFT","CR","41992.17","349893.74","ATM","TXN","S000076"
"TXN00000077","ACC00000013","000077","2026-04-19 06:21:59","RTGS","CR","22205.92","33576.38","BRANCH","TXN","S000077"
"TXN00000078","ACC00000013","000078","2026-05-28 06:21:59","TRANSFER","DR","9318.85","289320.58","IVR","TXN","S000078"
"TXN00000079","ACC00000013","000079","2026-03-30 06:21:59","NEFT","DR","29858.4","328057.84","ATM","TXN","S000079"
"TXN00000080","ACC00000013","000080","2026-05-31 06:21:59","TRANSFER","CR","6790.92","207819.92","ATM","TXN","S000080"
"TXN00000081","ACC00000013","000081","2026-05-18 06:21:59","NEFT","CR","24623.14","40082.51","BRANCH","TXN","S000081"
"TXN00000082","ACC00000013","000082","2026-06-06 06:21:59","UPI","CR","38250.49","458989.3","NETBANKING","TXN","S000082"
"TXN00000083","ACC00000013","000083","2026-05-13 06:21:59","UPI","DR","37913.05","47393.01","NETBANKING","TXN","S000083"
"TXN00000084","ACC00000013","000084","2026-03-24 06:21:59","CHEQUE","CR","34424.35","438172.8","NETBANKING","TXN","S000084"
"TXN00000085","ACC00000013","000085","2026-04-20 06:21:59","CHEQUE","DR","30435.7","346110.5","NETBANKING","TXN","S000085"
"TXN00000086","ACC00000014","000086","2026-04-05 06:21:59","UPI","DR","22635.32","432778.97","BRANCH","TXN","S000086"
"TXN00000087","ACC00000014","000087","2026-04-05 06:21:59","UPI","CR","49193.15","256735.52","IVR","TXN","S000087"
"TXN00000088","ACC00000014","000088","2026-03-22 06:21:59","CHEQUE","DR","9573.53","168921.94","ATM","TXN","S000088"
"TXN00000089","ACC00000015","000089","2026-04-12 06:21:59","TRANSFER","DR","21180.86","455468.05","IVR","TXN","S000089"
"TXN00000090","ACC00000015","000090","2026-05-23 06:21:59","CHEQUE","CR","41511.69","-257.56","IVR","TXN","S000090"
"TXN00000091","ACC00000015","000091","2026-05-27 06:21:59","TRANSFER","DR","38958.68","24418.67","NETBANKING","TXN","S000091"
"TXN00000092","ACC00000015","000092","2026-04-30 06:21:59","CHEQUE","CR","1343.11","274673.51","BRANCH","TXN","S000092"
"TXN00000093","ACC00000015","000093","2026-04-13 06:21:59","NEFT","DR","12579.11","345106.1","MOBILE","TXN","S000093"
"TXN00000094","ACC00000015","000094","2026-05-30 06:21:59","RTGS","DR","35340.71","-3081.4","NETBANKING","TXN","S000094"
"TXN00000095","ACC00000015","000095","2026-04-06 06:21:59","CHEQUE","DR","18996.06","-25851.65","BRANCH","TXN","S000095"
"TXN00000096","ACC00000016","000096","2026-03-30 06:21:59","NEFT","DR","8189.99","48376.72","MOBILE","TXN","S000096"
"TXN00000097","ACC00000016","000097","2026-04-18 06:21:59","CHEQUE","CR","15544.96","108829.3","BRANCH","TXN","S000097"
"TXN00000098","ACC00000016","000098","2026-05-26 06:21:59","UPI","DR","48025.65","292408.18","ATM","TXN","S000098"
"TXN00000099","ACC00000016","000099","2026-06-09 06:21:59","CHEQUE","CR","24931.62","248925.64","MOBILE","TXN","S000099"
"TXN00000100","ACC00000016","000100","2026-03-25 06:21:59","TRANSFER","CR","11970.13","312708.84","NETBANKING","TXN","S000100"
"TXN00000101","ACC00000016","000101","2026-04-19 06:21:59","TRANSFER","CR","4062.31","-46384.84","IVR","TXN","S000101"
"TXN00000102","ACC00000016","000102","2026-05-06 06:21:59","NEFT","DR","2541.05","-19714.83","ATM","TXN","S000102"
"TXN00000103","ACC00000016","000103","2026-06-06 06:21:59","TRANSFER","DR","42706.08","410907.94","ATM","TXN","S000103"
"TXN00000104","ACC00000017","000104","2026-05-30 06:21:59","NEFT","DR","5533.49","38734.38","ATM","TXN","S000104"
"TXN00000105","ACC00000017","000105","2026-03-24 06:21:59","TRANSFER","DR","48318.03","148103.76","MOBILE","TXN","S000105"
"TXN00000106","ACC00000017","000106","2026-05-30 06:21:59","CHEQUE","CR","16208.81","401145.61","NETBANKING","TXN","S000106"
"TXN00000107","ACC00000017","000107","2026-04-01 06:21:59","NEFT","DR","14712.35","17112.78","ATM","TXN","S000107"
"TXN00000108","ACC00000017","000108","2026-04-29 06:21:59","NEFT","CR","26279.85","286629.56","MOBILE","TXN","S000108"
"TXN00000109","ACC00000017","000109","2026-03-29 06:21:59","TRANSFER","DR","24234.78","463640.42","ATM","TXN","S000109"
"TXN00000110","ACC00000017","000110","2026-04-17 06:21:59","TRANSFER","CR","13057.04","497263.38","ATM","TXN","S000110"
"TXN00000111","ACC00000017","000111","2026-05-25 06:21:59","CHEQUE","CR","26033.32","220877.45","BRANCH","TXN","S000111"
"TXN00000112","ACC00000018","000112","2026-05-04 06:21:59","UPI","DR","178.89","205687.1","MOBILE","TXN","S000112"
"TXN00000113","ACC00000018","000113","2026-05-15 06:21:59","RTGS","CR","20760.65","142307.52","BRANCH","TXN","S000113"
"TXN00000114","ACC00000018","000114","2026-06-09 06:21:59","RTGS","DR","34531.85","384607.53","ATM","TXN","S000114"
"TXN00000115","ACC00000018","000115","2026-05-03 06:21:59","UPI","CR","38374.93","327209.68","ATM","TXN","S000115"
"TXN00000116","ACC00000018","000116","2026-04-21 06:21:59","NEFT","DR","41618.93","131783.16","ATM","TXN","S000116"
"TXN00000117","ACC00000018","000117","2026-03-16 06:21:59","UPI","CR","45816.54","305108.72","NETBANKING","TXN","S000117"
"TXN00000118","ACC00000019","000118","2026-03-22 06:21:59","TRANSFER","CR","44613.71","442760.73","NETBANKING","TXN","S000118"
"TXN00000119","ACC00000019","000119","2026-04-19 06:21:59","RTGS","DR","41771.78","260718.45","ATM","TXN","S000119"
"TXN00000120","ACC00000019","000120","2026-03-31 06:21:59","RTGS","DR","10492.3","389744.43","ATM","TXN","S000120"
"TXN00000121","ACC00000019","000121","2026-06-02 06:21:59","UPI","DR","14094.96","136533.83","NETBANKING","TXN","S000121"
"TXN00000122","ACC00000019","000122","2026-03-22 06:21:59","CHEQUE","DR","28591.98","53058.4","MOBILE","TXN","S000122"
"TXN00000123","ACC00000020","000123","2026-05-01 06:21:59","UPI","DR","13647.72","223379.94","BRANCH","TXN","S000123"
"TXN00000124","ACC00000020","000124","2026-04-24 06:21:59","RTGS","CR","41489.93","68876.93","ATM","TXN","S000124"
"TXN00000125","ACC00000020","000125","2026-05-19 06:21:59","UPI","DR","18773.36","377784.72","MOBILE","TXN","S000125"
"TXN00000126","ACC00000020","000126","2026-04-15 06:21:59","TRANSFER","DR","39971.36","34742.78","ATM","TXN","S000126"
"TXN00000127","ACC00000020","000127","2026-04-10 06:21:59","NEFT","CR","38799.11","373214.77","MOBILE","TXN","S000127"
"TXN00000128","ACC00000020","000128","2026-04-05 06:21:59","UPI","DR","10338.84","202652.63","IVR","TXN","S000128"
"TXN00000129","ACC00000020","000129","2026-05-27 06:21:59","UPI","DR","15617.97","327878.78","IVR","TXN","S000129"
"TXN00000130","ACC00000021","000130","2026-04-29 06:21:59","UPI","CR","44470.38","236317.74","ATM","TXN","S000130"
"TXN00000131","ACC00000021","000131","2026-06-08 06:21:59","NEFT","CR","31978.66","126484.2","BRANCH","TXN","S000131"
"TXN00000132","ACC00000021","000132","2026-05-05 06:21:59","CHEQUE","CR","26660.56","319118.22","ATM","TXN","S000132"
"TXN00000133","ACC00000021","000133","2026-05-22 06:21:59","UPI","DR","13754.48","477063.93","IVR","TXN","S000133"
"TXN00000134","ACC00000022","000134","2026-05-15 06:21:59","RTGS","CR","27513.35","27856.26","ATM","TXN","S000134"
"TXN00000135","ACC00000022","000135","2026-03-29 06:21:59","RTGS","DR","8646.62","287294.59","ATM","TXN","S000135"
"TXN00000136","ACC00000022","000136","2026-04-02 06:21:59","UPI","CR","2631.24","208904.57","MOBILE","TXN","S000136"
"TXN00000137","ACC00000022","000137","2026-05-28 06:21:59","CHEQUE","CR","2784.61","165554.22","IVR","TXN","S000137"
"TXN00000138","ACC00000023","000138","2026-03-24 06:21:59","NEFT","CR","15690.79","342094.28","IVR","TXN","S000138"
"TXN00000139","ACC00000023","000139","2026-05-31 06:21:59","UPI","CR","28432.69","397068.06","NETBANKING","TXN","S000139"
"TXN00000140","ACC00000023","000140","2026-05-29 06:21:59","CHEQUE","CR","15588.55","208800.23","BRANCH","TXN","S000140"
"TXN00000141","ACC00000023","000141","2026-05-23 06:21:59","CHEQUE","CR","45651.79","50844.19","ATM","TXN","S000141"
"TXN00000142","ACC00000023","000142","2026-04-30 06:21:59","UPI","CR","24426.59","211433.9","ATM","TXN","S000142"
"TXN00000143","ACC00000023","000143","2026-04-10 06:21:59","RTGS","CR","42303.74","372367.83","IVR","TXN","S000143"
"TXN00000144","ACC00000023","000144","2026-03-29 06:21:59","CHEQUE","DR","25446.69","399654.09","MOBILE","TXN","S000144"
"TXN00000145","ACC00000023","000145","2026-04-30 06:21:59","TRANSFER","DR","39642.3","203536.17","IVR","TXN","S000145"
"TXN00000146","ACC00000023","000146","2026-04-19 06:21:59","TRANSFER","DR","31081.65","37461.16","NETBANKING","TXN","S000146"
"TXN00000147","ACC00000023","000147","2026-04-22 06:21:59","TRANSFER","DR","17101.64","187131.67","NETBANKING","TXN","S000147"
"TXN00000148","ACC00000024","000148","2026-04-02 06:21:59","UPI","DR","8736.96","356651.87","IVR","TXN","S000148"
"TXN00000149","ACC00000024","000149","2026-04-09 06:21:59","CHEQUE","DR","29648.94","128957.95","MOBILE","TXN","S000149"
"TXN00000150","ACC00000024","000150","2026-04-15 06:21:59","CHEQUE","DR","15470.98","-11715.8","MOBILE","TXN","S000150"
"TXN00000151","ACC00000024","000151","2026-03-15 06:21:59","UPI","CR","16437.67","-206.85","BRANCH","TXN","S000151"
"TXN00000152","ACC00000024","000152","2026-03-28 06:21:59","NEFT","DR","37878.18","199135.93","ATM","TXN","S000152"
"TXN00000153","ACC00000024","000153","2026-04-22 06:21:59","RTGS","CR","9863.76","114854.43","ATM","TXN","S000153"
"TXN00000154","ACC00000024","000154","2026-04-16 06:21:59","TRANSFER","CR","49515.43","-45534.41","IVR","TXN","S000154"
"TXN00000155","ACC00000024","000155","2026-04-20 06:21:59","UPI","DR","42640.01","153072.59","IVR","TXN","S000155"
"TXN00000156","ACC00000025","000156","2026-06-10 06:21:59","RTGS","CR","5573.95","426123.8","BRANCH","TXN","S000156"
"TXN00000157","ACC00000025","000157","2026-04-16 06:21:59","CHEQUE","CR","31298.19","173317.96","NETBANKING","TXN","S000157"
"TXN00000158","ACC00000025","000158","2026-04-02 06:21:59","CHEQUE","DR","33158.13","26487.88","IVR","TXN","S000158"
"TXN00000159","ACC00000026","000159","2026-04-25 06:21:59","NEFT","CR","7797.94","23852.6","MOBILE","TXN","S000159"
"TXN00000160","ACC00000026","000160","2026-03-20 06:21:59","CHEQUE","DR","7285.39","311859.68","BRANCH","TXN","S000160"
"TXN00000161","ACC00000026","000161","2026-05-31 06:21:59","CHEQUE","DR","32147.92","423084.02","IVR","TXN","S000161"
"TXN00000162","ACC00000026","000162","2026-04-17 06:21:59","CHEQUE","DR","22774.28","253627.52","NETBANKING","TXN","S000162"
"TXN00000163","ACC00000026","000163","2026-04-22 06:21:59","CHEQUE","CR","11364.47","282515.29","IVR","TXN","S000163"
"TXN00000164","ACC00000026","000164","2026-04-08 06:21:59","RTGS","DR","35635.29","175960.8","IVR","TXN","S000164"
"TXN00000165","ACC00000026","000165","2026-03-29 06:21:59","UPI","CR","1769.75","262482.27","ATM","TXN","S000165"
"TXN00000166","ACC00000026","000166","2026-05-27 06:21:59","UPI","CR","48090.71","28148.11","IVR","TXN","S000166"
"TXN00000167","ACC00000026","000167","2026-05-06 06:21:59","TRANSFER","CR","25895.78","439453.51","MOBILE","TXN","S000167"
"TXN00000168","ACC00000027","000168","2026-04-11 06:21:59","TRANSFER","DR","34235.29","388954.03","ATM","TXN","S000168"
"TXN00000169","ACC00000027","000169","2026-03-24 06:21:59","TRANSFER","DR","45188.91","378189.92","NETBANKING","TXN","S000169"
"TXN00000170","ACC00000027","000170","2026-04-13 06:21:59","RTGS","CR","28740.87","181558.86","ATM","TXN","S000170"
"TXN00000171","ACC00000027","000171","2026-05-04 06:21:59","TRANSFER","DR","1862.78","362183.9","IVR","TXN","S000171"
"TXN00000172","ACC00000027","000172","2026-05-08 06:21:59","TRANSFER","DR","31502.07","42993.58","MOBILE","TXN","S000172"
"TXN00000173","ACC00000027","000173","2026-03-18 06:21:59","TRANSFER","CR","40463.9","-34986.05","NETBANKING","TXN","S000173"
"TXN00000174","ACC00000028","000174","2026-05-25 06:21:59","RTGS","DR","42587.12","88628.04","IVR","TXN","S000174"
"TXN00000175","ACC00000028","000175","2026-05-06 06:21:59","UPI","CR","42907.13","357786.04","IVR","TXN","S000175"
"TXN00000176","ACC00000028","000176","2026-05-19 06:21:59","RTGS","DR","32991.87","394312.38","ATM","TXN","S000176"
"TXN00000177","ACC00000028","000177","2026-03-13 06:21:59","TRANSFER","DR","24297.43","424107.94","ATM","TXN","S000177"
"TXN00000178","ACC00000029","000178","2026-05-23 06:21:59","CHEQUE","DR","41896.95","373702.28","BRANCH","TXN","S000178"
"TXN00000179","ACC00000029","000179","2026-03-18 06:21:59","NEFT","CR","36327.35","65971.21","ATM","TXN","S000179"
"TXN00000180","ACC00000029","000180","2026-06-04 06:21:59","UPI","CR","37798.65","-21112.24","NETBANKING","TXN","S000180"
"TXN00000181","ACC00000029","000181","2026-04-20 06:21:59","TRANSFER","CR","15138.22","78513.72","NETBANKING","TXN","S000181"
"TXN00000182","ACC00000030","000182","2026-05-08 06:21:59","CHEQUE","DR","26569.06","-43475.33","NETBANKING","TXN","S000182"
"TXN00000183","ACC00000030","000183","2026-04-23 06:21:59","UPI","CR","48091.96","3550.38","IVR","TXN","S000183"
"TXN00000184","ACC00000030","000184","2026-03-21 06:21:59","CHEQUE","CR","47813.56","285767.06","ATM","TXN","S000184"
"TXN00000185","ACC00000030","000185","2026-04-29 06:21:59","UPI","CR","13427.68","90439.16","IVR","TXN","S000185"
"TXN00000186","ACC00000030","000186","2026-04-21 06:21:59","NEFT","CR","38680.24","353872.4","IVR","TXN","S000186"
"TXN00000187","ACC00000030","000187","2026-05-17 06:21:59","NEFT","CR","33918.14","122298.41","MOBILE","TXN","S000187"
"TXN00000188","ACC00000030","000188","2026-03-16 06:21:59","UPI","DR","41601.31","176186.82","IVR","TXN","S000188"
"TXN00000189","ACC00000030","000189","2026-05-28 06:21:59","RTGS","CR","17640.67","88542.86","MOBILE","TXN","S000189"
"TXN00000190","ACC00000030","000190","2026-06-07 06:21:59","TRANSFER","DR","2938.41","311133.04","BRANCH","TXN","S000190"
"TXN00000191","ACC00000030","000191","2026-03-26 06:21:59","UPI","DR","35432.95","-2487.49","IVR","TXN","S000191"
"TXN00000192","ACC00000031","000192","2026-04-23 06:21:59","NEFT","DR","44810.48","89334.66","NETBANKING","TXN","S000192"
"TXN00000193","ACC00000031","000193","2026-03-18 06:21:59","RTGS","DR","31975.15","373147.52","ATM","TXN","S000193"
"TXN00000194","ACC00000031","000194","2026-05-09 06:21:59","RTGS","DR","39058.49","377408.27","NETBANKING","TXN","S000194"
"TXN00000195","ACC00000031","000195","2026-04-22 06:21:59","RTGS","CR","49798.33","475583.13","ATM","TXN","S000195"
"TXN00000196","ACC00000031","000196","2026-05-19 06:21:59","NEFT","CR","3562.98","285666.04","BRANCH","TXN","S000196"
"TXN00000197","ACC00000032","000197","2026-05-28 06:21:59","CHEQUE","DR","27077.54","70112.57","MOBILE","TXN","S000197"
"TXN00000198","ACC00000032","000198","2026-04-15 06:21:59","UPI","CR","5254.03","-11273.22","ATM","TXN","S000198"
"TXN00000199","ACC00000032","000199","2026-04-14 06:21:59","NEFT","DR","44835.97","309075.93","MOBILE","TXN","S000199"
"TXN00000200","ACC00000032","000200","2026-06-06 06:21:59","RTGS","CR","13395.18","447539.65","IVR","TXN","S000200"
"TXN00000201","ACC00000032","000201","2026-06-10 06:21:59","CHEQUE","CR","23959.16","414227.03","MOBILE","TXN","S000201"
"TXN00000202","ACC00000032","000202","2026-04-02 06:21:59","CHEQUE","DR","265.04","16662.01","IVR","TXN","S000202"
"TXN00000203","ACC00000032","000203","2026-04-26 06:21:59","CHEQUE","CR","34123.6","-19642.93","MOBILE","TXN","S000203"
"TXN00000204","ACC00000032","000204","2026-04-25 06:21:59","CHEQUE","CR","4114.79","368249.19","ATM","TXN","S000204"
"TXN00000205","ACC00000032","000205","2026-03-20 06:21:59","UPI","DR","8913.25","482132.13","BRANCH","TXN","S000205"
"TXN00000206","ACC00000032","000206","2026-05-03 06:21:59","RTGS","CR","44833.39","217576.95","NETBANKING","TXN","S000206"
"TXN00000207","ACC00000033","000207","2026-05-24 06:21:59","TRANSFER","DR","9735.33","81166.82","NETBANKING","TXN","S000207"
"TXN00000208","ACC00000033","000208","2026-06-02 06:21:59","CHEQUE","CR","25034.24","481615.78","MOBILE","TXN","S000208"
"TXN00000209","ACC00000033","000209","2026-06-06 06:21:59","UPI","CR","2897.12","173029.32","BRANCH","TXN","S000209"
"TXN00000210","ACC00000033","000210","2026-03-19 06:21:59","TRANSFER","CR","47010.48","31924.5","IVR","TXN","S000210"
"TXN00000211","ACC00000033","000211","2026-05-12 06:21:59","NEFT","DR","1940.2","218892.09","MOBILE","TXN","S000211"
"TXN00000212","ACC00000033","000212","2026-04-11 06:21:59","NEFT","DR","12209.86","-42099.14","MOBILE","TXN","S000212"
"TXN00000213","ACC00000034","000213","2026-05-29 06:21:59","TRANSFER","CR","30600.17","-14823.31","MOBILE","TXN","S000213"
"TXN00000214","ACC00000034","000214","2026-05-27 06:21:59","TRANSFER","CR","29789.37","71314.89","BRANCH","TXN","S000214"
"TXN00000215","ACC00000034","000215","2026-04-17 06:21:59","CHEQUE","CR","40594.9","128329.22","IVR","TXN","S000215"
"TXN00000216","ACC00000034","000216","2026-04-02 06:21:59","NEFT","DR","16147.34","370325.34","IVR","TXN","S000216"
